part,trial,k,subset,err_sh,err_el,err_wr
P07,trial_18_L_unaffected,3,023,31.030806784233132,48.00798445070686,29.877777149891738
P07,trial_18_L_unaffected,3,024,38.05764011772308,49.899987013349595,25.000767230025733
P07,trial_18_L_unaffected,3,034,37.4972594075602,40.432466831382115,27.820029095167413
P07,trial_18_L_unaffected,3,123,37.997210867996955,49.667304056979475,25.57963542140949
P07,trial_18_L_unaffected,3,124,46.59509127544347,51.793830357142404,22.677132804171038
P07,trial_18_L_unaffected,3,134,43.39811341121084,46.284824241069934,25.92264949471258
P07,trial_18_L_unaffected,3,234,49.69670821127519,50.23667783362346,26.31166539022339
P07,trial_18_L_unaffected,4,0123,32.201206833566545,48.852435932268016,27.054599840357053
P07,trial_18_L_unaffected,4,0124,38.618453685581215,51.211739399376846,23.366394814648547
P07,trial_18_L_unaffected,4,0134,37.904243109795146,44.828401304866986,25.409546968041578
P07,trial_18_L_unaffected,4,0234,36.94958608026291,46.506877219680355,26.273246295248914
P07,trial_18_L_unaffected,4,1234,44.02527117003451,48.65254354692482,24.317759694357303
P07,trial_18_L_unaffected,5,01234,37.34907880925778,47.6986744144255,24.575942057927488
P07,trial_19_L_unaffected,2,01,32.440175165704375,59.511499085094094,29.533883263778105
P07,trial_19_L_unaffected,2,02,28.1621268919593,51.21779749114548,26.82986935930085
P07,trial_19_L_unaffected,2,03,33.00305310272707,41.06092720803072,27.86680876520296
P07,trial_19_L_unaffected,2,04,78.80516597450203,44.36808829086641,30.26760813379561
P07,trial_19_L_unaffected,2,12,38.012159528642044,52.08150469063318,26.016673880618185
P07,trial_19_L_unaffected,2,13,40.0319403247555,46.74373399673945,24.838063065644466
P07,trial_19_L_unaffected,2,14,50.95722489787756,52.46773249484986,23.700103721344025
P07,trial_19_L_unaffected,2,23,45.249643422807765,61.90576656116944,31.465521332965352
P07,trial_19_L_unaffected,2,24,50.696027477212866,52.71541510933158,23.146222972301434
P07,trial_19_L_unaffected,2,34,50.78481385092419,47.18467249815649,25.367413751049845
P07,trial_19_L_unaffected,3,012,31.561035494529044,54.45842880746776,26.02235579612551
P07,trial_19_L_unaffected,3,013,33.47619228529407,45.59959215800231,23.75070746856458
P07,trial_19_L_unaffected,3,014,44.367081177781714,50.592507489088476,21.36955517210835
P07,trial_19_L_unaffected,3,023,31.39852208259277,47.240635772092475,24.624134675176634
P07,trial_19_L_unaffected,3,024,37.863182263861916,49.04398977069685,22.06642994655052
P07,trial_19_L_unaffected,3,034,38.01097816464517,40.82456331555958,24.385727389908716
P07,trial_19_L_unaffected,3,123,38.82480954069165,49.0658611208277,22.580348268620032
P07,trial_19_L_unaffected,3,124,46.70400653286725,51.62106795796344,21.468340547529856
P07,trial_19_L_unaffected,3,134,44.1529373963788,47.36123670031575,23.2454227470976
P07,trial_19_L_unaffected,3,234,49.86674792542544,49.69782868942035,23.49113858463141
P07,trial_19_L_unaffected,4,0123,32.902355332992855,48.45040053428753,22.592094118418448
P07,trial_19_L_unaffected,4,0124,38.73480020585414,50.819631824105436,20.78942519435236
P07,trial_19_L_unaffected,4,0134,38.53851190774763,45.42271627840568,22.41560423414286
P07,trial_19_L_unaffected,4,0234,37.222843629518124,46.25297088502948,22.64003201293512
P07,trial_19_L_unaffected,4,1234,44.38657244088397,48.9416846285973,21.874518850969793
P07,trial_19_L_unaffected,5,01234,37.730410700733515,47.738947110685736,21.338575038154225
P07,trial_1_L_unaffected,2,01,33.088360533205694,58.76288011717533,32.22585638696434
P07,trial_1_L_unaffected,2,02,26.078237967391132,46.593900271263855,29.901623491705607
P07,trial_1_L_unaffected,2,03,26.327205387443378,34.15215765499621,33.017696126519276
P07,trial_1_L_unaffected,2,04,76.16161602919952,46.68553625815395,40.27540657606381
P07,trial_1_L_unaffected,2,12,35.077212573488524,46.87043530628441,27.077973750891648
P07,trial_1_L_unaffected,2,13,34.53406033192396,35.44114802506479,32.447050353146025
P07,trial_1_L_unaffected,2,14,49.27376334045428,47.858101665054534,22.181408375145846
P07,trial_1_L_unaffected,2,23,44.9403255802908,67.15500211147358,57.769482243644006
P07,trial_1_L_unaffected,2,24,53.07565619282762,48.96469311508397,23.093479651622545
P07,trial_1_L_unaffected,2,34,52.84835057665758,43.80343162244689,33.45389393191843
P07,trial_1_L_unaffected,3,012,30.866803765269804,51.46440207621539,28.008526175934797
P07,trial_1_L_unaffected,3,013,28.889649379638886,38.39839180514374,25.564399777022334
P07,trial_1_L_unaffected,3,014,42.879739486255794,48.19506310009268,19.234477908710033
P07,trial_1_L_unaffected,3,023,26.552101812821096,39.69443010291267,28.896206710546178
P07,trial_1_L_unaffected,3,024,37.52646331382121,45.910011266213964,22.415785585752143
P07,trial_1_L_unaffected,3,034,33.97370808322657,34.63964248119435,27.453529781602423
P07,trial_1_L_unaffected,3,123,35.25316945270211,38.537648027068585,29.072732780703035
P07,trial_1_L_unaffected,3,124,46.185486926679246,46.74406155082341,20.47818007721068
P07,trial_1_L_unaffected,3,134,41.69944594214449,37.883260574850944,27.277833320081584
P07,trial_1_L_unaffected,3,234,51.170293778957685,42.07650759431345,27.43766994882616
P07,trial_1_L_unaffected,4,0123,29.197590249939918,40.76438858805726,24.41455580214253
P07,trial_1_L_unaffected,4,0124,38.159974404886896,46.968225977198905,18.939628818763364
P07,trial_1_L_unaffected,4,0134,35.537212541691495,38.31160150365086,23.6752766142634
P07,trial_1_L_unaffected,4,0234,35.511158216143144,39.45618110012016,24.76687253246542
P07,trial_1_L_unaffected,4,1234,43.07867398930255,40.07013621395849,24.741371784896035
P07,trial_1_L_unaffected,5,01234,35.81748981459854,40.593775533122184,22.19201527810495
P07,trial_20_L_unaffected,2,01,32.95237302695488,57.36950845878924,24.507717538330954
P07,trial_20_L_unaffected,2,02,30.273299369119517,52.473104117757785,23.69059786588882
P07,trial_20_L_unaffected,2,03,32.91892859390451,41.653390319607794,23.81263454706096
P07,trial_20_L_unaffected,2,04,77.61359240396592,44.172950996672576,27.860973882571564
P07,trial_20_L_unaffected,2,12,39.10413925243441,53.56813428752626,25.106312314434263
P07,trial_20_L_unaffected,2,13,39.8672341161256,46.88489588741956,23.678311262895786
P07,trial_20_L_unaffected,2,14,50.920915485999735,51.37795924898396,22.1751169826988
P07,trial_20_L_unaffected,2,23,45.98509107421452,67.84354360639317,29.445313410828422
P07,trial_20_L_unaffected,2,24,50.83187900191457,55.0976723032239,21.712933924776134
P07,trial_20_L_unaffected,2,34,50.388064798079775,48.89208291359042,24.359495834492822
P07,trial_20_L_unaffected,3,012,33.175099986426304,54.65201673557721,23.4805156006493
P07,trial_20_L_unaffected,3,013,33.946480003864835,45.326412775066224,21.140808016035432
P07,trial_20_L_unaffected,3,014,44.66110898556318,49.45140694476645,19.142936399889376
P07,trial_20_L_unaffected,3,023,32.52916747782202,48.384639538197575,21.235781134817135
P07,trial_20_L_unaffected,3,024,38.985052148721735,50.41833003149099,19.65020641434159
P07,trial_20_L_unaffected,3,034,37.91485981092393,41.12956060857126,21.57259989378267
P07,trial_20_L_unaffected,3,123,39.454150238942255,49.999345654545806,21.638531425431385
P07,trial_20_L_unaffected,3,124,47.5497251817793,52.50634749004457,20.295952247558446
P07,trial_20_L_unaffected,3,134,44.17198501241293,47.149794332090934,22.137887542491782
P07,trial_20_L_unaffected,3,234,49.56913697400487,51.48417929271716,22.242678724629588
P07,trial_20_L_unaffected,4,0123,34.020316333679425,48.89807386676802,20.236254205454376
P07,trial_20_L_unaffected,4,0124,39.89838580677826,51.26572229198021,18.795984315860853
P07,trial_20_L_unaffected,4,0134,38.8490420385521,45.061725095889706,20.325580090807218
P07,trial_20_L_unaffected,4,0234,37.91412280559522,47.36771988358002,20.08299311874922
P07,trial_20_L_unaffected,4,1234,44.87013991100101,49.67892920187374,20.810330359929377
