part,trial,cam,rot_deg,axis,induced_reproj,base_reproj,err_sh,err_el,err_wr,base_err_wr,base_err_el,base_err_sh
P14,trial_47_R_unaffected,2,4.0,2,28.2956271349209,9.088123033163818,56.350552818117556,75.80426732065256,29.446834907216815,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,2,8.0,0,44.25938020528581,9.088123033163818,63.56617045836884,82.09589342458528,36.73242574583257,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,2,8.0,1,47.044489249617484,9.088123033163818,53.30043941834307,75.36363178515896,28.17611679831351,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,2,8.0,2,37.288672498473915,9.088123033163818,62.619270254007425,81.18581206683301,35.36979624352772,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,0.5,0,8.684416690150126,9.088123033163818,59.25095770081872,76.80931894646017,31.32160435365321,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,0.5,1,9.529655293337628,9.088123033163818,59.390761605622906,76.9299808248908,31.35974325140913,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,0.5,2,10.166842065590874,9.088123033163818,59.83315914423772,77.28641978029384,31.68984508748932,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,1.0,0,8.603904534418742,9.088123033163818,59.992761043618785,77.09054303471724,31.840112287097217,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,1.0,1,10.575653900075057,9.088123033163818,59.787844997844196,77.59655269257742,31.769091868069143,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,1.0,2,8.509645755404293,9.088123033163818,59.49923779771816,76.82807976594555,31.551452112289766,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,2.0,0,10.146536619954176,9.088123033163818,58.986316723509155,76.23599454744476,31.135405500721983,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,2.0,1,14.44355101206212,9.088123033163818,58.43128141960776,76.43861154758102,30.620414018447708,31.517823417890643,77.0921252221043,59.53693707330631
