part,trial,side,flex_mmc_max,automq_flex,ij_mmc,automq_ij,flex_omc_sag_max,ij_omc_sag
P07,76,R,52.98902593469933,70.76377386015679,0.8569654651879036,0.8137306023068948,56.807245400922085,0.9654239805773915
P07,77,R,,43.944892422875036,,0.9356771911414498,55.747979379053724,0.9846810495224011
P07,78,R,49.923526548492745,68.02639008892365,0.9292225466011296,0.9191870652600085,55.46947103798438,0.9691267544663026
P07,79,R,42.976431652828396,63.84276106563769,0.9279323683297436,0.8241672656780827,51.489442579878535,0.947955360046078
P07,7,L,44.37316756229964,50.57890241682054,0.9579773156969542,0.929355282743276,42.65504408022741,0.9672955561968384
P07,80,R,52.352177209665044,63.44815800939306,0.9684905275747446,0.9514692343551998,51.99375228847175,0.9904076281647975
P07,81,R,53.90808587965245,75.18095311983527,0.9586371059963659,0.9382633364955635,59.091601170512526,0.987455228874179
P07,82,R,48.50904257798997,72.91706576711361,0.9738387469583021,0.9532374890651649,58.09112553992775,0.990160544809769
P07,83,R,52.717991284922704,71.14557528583919,0.9588942923138108,0.9621882684505253,58.26240559839463,0.9945298425627277
P07,8,L,54.84098371135623,53.86388861506135,0.9743248928747871,0.9585600877677515,44.92574913711213,0.9795826823513075
P07,9,L,57.76716907521051,55.99218277043931,0.9709692993292236,0.9486178353028482,47.12061861888675,0.9693945616644706
P08,10,R,33.85956656677956,43.868189687847114,0.9550390119534605,0.9655913886844742,37.62468968263478,0.9863961003487609
P08,13,R,32.37619188540452,40.05797261666432,0.9489938041179287,0.9496288397482263,34.74194573263826,0.9777322988554229
P08,14,R,33.89557279556698,40.547045801407506,0.9468512554986852,0.9485326618288282,35.17364915721018,0.9781475171738092
P08,15,R,28.027496260849485,41.844853117192066,0.9526015468534723,0.9438115183996645,36.378114766772164,0.9812339870867737
P08,16,R,32.46989280358135,41.49869565732794,0.9765020230967828,0.9718315347681044,33.46592922186729,0.9805716670869014
P08,19,R,23.082781480473688,41.01702531288491,0.8979458094244652,0.9510614228582999,34.5461454688781,0.9841168149286247
P08,20,R,38.15909938663883,40.945056603677685,0.953542035636705,0.9550143301077652,32.721503914706226,0.9828621125575929
P08,21,R,24.076608420140662,40.22489887669896,0.9634420016646836,0.9507949796372507,33.93489300954413,0.9813916080391036
P08,22,R,33.13991370618968,40.266494766738106,0.9739778045068948,0.9517970541547209,32.79592666228889,0.9818011748696666
P08,23,R,34.864127106509486,40.6208483957873,0.9728094203151769,0.9673625710200092,33.638759651686165,0.9826071323172285
P08,24,R,34.56091386838066,42.05940259642888,0.9581628896933153,0.9482396989864892,34.118846994987074,0.9858542163031946
P08,25,R,22.911979723135175,39.366766019126224,0.8290414119863633,0.9434885898232753,31.717583960754034,0.9870408030472515
P08,26,R,22.683285390762233,39.31464376010786,0.8338692481582829,0.954782470447192,33.86717232473893,0.9875324100515713
P08,27,R,24.825556434692697,40.77560680617561,0.9416152199081107,0.950419006665766,33.370005256041196,0.9766596945320284
P08,29,R,35.161674077902745,40.2386206179178,0.9551449524121371,0.9373886573062268,32.60999688506339,0.9841028332877936
P08,2,R,,41.96922101784503,,0.9774871598627161,34.35796700154593,0.9855490002454239
P08,30,R,26.794715635088775,40.08713650921517,0.9912181925030483,0.9410513520607299,33.589760404103785,0.9891203971264719
P08,32,R,36.190793489936,41.206371000434785,0.9374238589491739,0.9305285655925348,33.38815285652882,0.9752964960174431
P08,33,R,37.841476124458566,40.96976387739201,0.9567729978531883,0.9498863300329491,33.33900922656263,0.9773919716066087
P08,34,R,33.596102584221086,40.11939894244675,0.9822871086160861,0.975945985690582,34.69898217614939,0.9829066907591503
P08,35,R,34.14815818410125,40.566913045728136,0.9905430883080483,0.9846689375086328,33.219679951235264,0.9861208702874759
P08,37,R,37.39407607759821,41.03995700806115,0.9903982515350331,0.9685167461256919,34.02460615448749,0.9712102878468842
P08,38,R,35.719330064045536,39.24931028622281,0.9617377230314726,0.9657607702714548,35.41448099042873,0.9658932964648207
P08,39,R,25.83628960958495,40.44102619226449,0.9624888454306822,0.9503167809448141,33.325077468481894,0.97977643692255
P08,3,R,,41.040760203128656,,0.9703169627358176,34.44224425080457,0.9861955982547845
P08,40,R,37.376904124040124,39.99098651828131,0.9759095737063492,0.9693500936385024,36.42057574059912,0.975800642879471
P08,42,R,20.861015702027697,42.006071204239895,0.5328158696524757,0.9592481004955059,35.62056377940603,0.9762733655566959
P08,44,R,37.90962585457452,43.19587317819733,0.9736772447313291,0.9669847536601549,35.47957175066469,0.9861358248896964
P08,46,R,36.78533849551255,42.24898407917606,0.9625013870888863,0.9549710797798606,34.18684924434854,0.9845409714819858
P08,47,R,22.70318653704865,41.48861353991586,0.9517919633853293,0.9625574918640724,35.28719998346185,0.9885234086293816
P08,48,R,35.89032099766754,40.79584791665713,0.9778597207006002,0.9778425644936416,33.337673669912476,0.9799475001795437
P08,4,R,,42.31800341282118,,0.97311847698926,36.59008852620473,0.986491584008525
P08,50,L,34.426824789570844,50.25135120555086,0.9499432118843706,0.8175085466254159,45.57466598277243,0.9448048226381416
P08,51,L,37.72535929528505,45.625827310304764,0.9463710856204756,0.9493059188518825,41.97784217335606,0.9572179466853993
P08,52,L,38.20920099070319,49.171663484364636,0.9601599776551009,0.9679920459022545,42.500743872075,0.9727859096820348
P08,53,L,27.071090296747137,47.179329184670884,0.8725644938620323,0.947522858238869,40.418530131659956,0.9648218100450346
P08,54,L,38.19274122635272,45.86677010953973,0.9402046871430045,0.9245925041346215,40.332240421140185,0.9551539995446228
P08,55,L,27.97330674716862,45.92648361444352,0.7054192380715506,0.9457132691594294,44.36295121819051,0.9679716945527715
P08,56,L,37.30023161518597,46.10233925483207,0.9529802783448927,0.9454267813165877,40.019415712950256,0.9716892221873688
P08,57,L,35.70140650810871,45.398759005242475,0.9667641660020431,0.945268844015872,39.56235247823547,0.9691020344030137
P08,58,L,44.40843471721722,49.171187824317,0.9431199041384034,0.9384145739875467,46.85893178593357,0.9650381827981551
P08,59,L,31.605054208307976,46.60322587474409,0.9198241261757243,0.9420947875384702,43.58503310951146,0.9706593472634105
P08,60,L,30.371540821937423,46.262780629053545,0.6048441062147955,0.9712702661275566,40.24810052113982,0.9802453779443675
P08,61,L,38.40729400685084,44.69672543940163,0.9616645471971977,0.9596513147064473,39.51393933324521,0.9734424657957297
P08,62,L,25.92013693485022,43.28386397862616,0.886722992389159,0.9268500551504697,38.87939711687184,0.9578828842235501
P08,63,L,33.01307585352713,43.47881600260972,0.9670380373587303,0.9495109842882006,38.029566128863394,0.972809685661002
P08,64,L,27.420028526925833,44.08865618423911,0.813099388610774,0.9519308597762315,38.526510987431216,0.9652167758614526
P08,65,L,27.207103645692204,44.55547469866609,0.9070791928187676,0.9569703590023022,39.05057884076094,0.978277851882549
P08,67,L,27.038214591332352,44.34857185926322,0.5791938554731428,0.9560628601430526,39.1328545895676,0.97437985903961
P08,68,L,28.55443643738999,43.78300206412087,0.7094383390362757,0.94272674421565,38.1026668042711,0.9588938874579571
P08,69,L,27.35186214782402,42.45320682167984,0.8191443622040504,0.9513935038268891,37.37148269257808,0.9594489712798268
P08,6,R,,43.45606891495772,,0.9547016803352659,38.626851565847176,0.9864850445402067
P08,72,L,23.731010316359562,42.125074642888016,0.8159494412145603,0.962590959576849,36.95328743102629,0.9876605654230706
P08,73,L,30.251738186857576,41.2737356507303,0.9849364054673686,0.9489672098803755,35.68769781466085,0.9768594354387276
P08,74,L,36.67621019946742,41.93693259143721,0.9174514332070964,0.9223586646827466,36.634064736294775,0.9400975080922443
P08,75,L,34.866639591441746,42.19302516151728,0.9630402684285836,0.9447125638695749,38.13245724994972,0.9848726792805332
P08,76,L,35.75267051662035,42.47220973317226,0.9633580166163852,0.9545023912718588,40.42201871319505,0.9751962023801007
P08,77,L,36.301573193088814,43.167536640991706,0.9650557306617764,0.9554992160566176,41.353388921871485,0.9756577280558307
P08,78,L,39.25048901628689,43.85705205972875,0.9476584313439242,0.9408699087408017,41.264638091729935,0.9569735679606544
P08,79,L,29.8530327132152,45.82948730162909,0.7130986738202345,0.952216774677422,41.82847095707908,0.9710604554994046
P08,7,R,33.98182419237028,45.72914829387683,0.9515160349912619,0.9537568856825939,37.71857278566277,0.9790215885077201
P08,80,L,36.2795871769303,42.71588464024242,0.9419672110069127,0.944182061383352,38.27169563274587,0.972497530030261
P08,81,L,24.66582217895599,42.61594555423875,0.8366986025865333,0.9509138037137572,38.209534377448506,0.970632166519872
P08,82,L,33.64930106826994,44.650054182896184,0.9584966270307992,0.9416406937616218,41.19042143622869,0.968489842601136
P08,83,L,36.59448152195668,43.74820968895271,0.9641963696283609,0.9468996430468349,42.41499008089269,0.9776034170097623
P08,84,L,35.84193293080802,44.078113001898494,0.959373829197611,0.9353462997820214,39.23028151672298,0.9749138139391751
P08,85,L,29.919812961831813,45.064181112594035,0.9671937265259477,0.937789301380333,40.76324388897863,0.9581919903570251
P08,86,L,32.861556546622396,43.711388502195035,0.9563425187657771,0.9354888096887257,40.497669170502476,0.9720427515531886
P08,87,L,26.144913968445994,42.04612974358548,0.9257253666640768,0.8905425885180714,39.59279420093209,0.9530550433669396
P08,88,L,27.420653566110655,44.53808884210595,0.8862933519805942,0.9670672332047873,40.88862259388893,0.9767610813597527
P08,89,L,34.59815749774845,44.14330534857986,0.9524899131227657,0.939363332233941,40.50262416294855,0.9726920402967131
P08,9,R,20.124662106927566,43.2903121461092,0.8061655745349201,0.9765814408990242,38.043421103412044,0.9771408210212982
P10,10,R,46.027385702119524,51.19228179970184,0.9526385160142391,0.968310193808139,48.54493720173831,0.9903001464670595
P10,11,R,49.069226438864874,54.25648315441311,0.9659273496238997,0.9725951302155555,48.605417251182224,0.9952635187583606
P10,12,R,40.36988933952443,42.550420854777144,0.9644994104724213,0.9605910515918298,49.4069955643216,0.9772156690959292
P10,13,R,41.40363834844332,42.75492421347988,0.9629104691671916,0.9547593387472828,48.31162488125931,0.9855018600584686
