part,trial,side,flexM,abdM,automq_flex,automq_abd,ijM,automq_ij,flexO,abdO,ijO
P08,19,R,24.108441223635047,25.112824991229164,41.01702531288491,35.348558567511276,0.9252835653169631,0.9510614228582999,33.04714067841132,32.95160918906293,0.9783774951126032
P08,20,R,38.39474902534158,23.686499007324535,40.945056603677685,32.283894355399624,0.9651148576041878,0.9550143301077652,33.08935801802521,30.151944677266435,0.9775602553829189
P08,21,R,24.76183145800877,22.350323161237096,40.22489887669896,33.88825248040533,0.9658256726050468,0.9507949796372507,32.3408400610826,31.121947630649984,0.9743547658902044
P08,22,R,34.17158605630853,28.110216186463077,40.266494766738106,35.80203338335321,0.9772561418761625,0.9517970541547209,32.22429743178954,33.12082052775974,0.9748941147763144
P08,23,R,34.935712571766224,28.039175921008546,40.6208483957873,36.9928879282562,0.9789595725811481,0.9673625710200092,33.08827029712493,34.09909383762227,0.9762726533470211
P08,24,R,35.41390436000479,29.464278436690442,42.05940259642888,36.70050629524123,0.9590321452184827,0.9482396989864892,34.056763405908455,33.14273134204711,0.9794971736764069
P08,25,R,24.015291198712298,22.140824587180035,39.366766019126224,35.15199983985039,0.8629152794300969,0.9434885898232753,31.707171210976764,31.222231018272716,0.9827890437827553
P08,26,R,23.527141329006433,20.245293912813366,39.31464376010786,32.96142769315146,0.8650246408968348,0.954782470447192,32.061102723135456,29.969313922524407,0.9826107502563054
P08,27,R,25.63895546169709,26.397601508540568,40.77560680617561,37.54886907737052,0.9510936753460093,0.950419006665766,33.74177518664101,34.406273063414574,0.9701625009897109
P08,29,R,35.809138540340726,24.247352558360046,40.2386206179178,35.75512748741436,0.9580315173969803,0.9373886573062268,33.02599839587038,31.997996593794927,0.9778414988475137
P08,2,R,,,41.96922101784503,36.742885672304546,,0.9774871598627161,34.34356760041178,33.7009003704125,0.9829767130616763
P08,30,R,27.285587269950966,24.279149171972577,40.08713650921517,35.554015124648515,0.9852347234363348,0.9410513520607299,32.10299715173618,31.659368498455123,0.9833310385976068
P08,32,R,36.34322832797525,23.93057797338337,41.206371000434785,35.30446484131108,0.9498791737197603,0.9305285655925348,33.72207755023667,31.85730745178654,0.9693365788070311
P08,33,R,38.31234425715422,26.02572704168351,40.96976387739201,35.25988471778292,0.9598014267844035,0.9498863300329491,33.70252806889014,31.934833993540686,0.9713979401821501
P08,34,R,34.372257975944464,29.550430812236648,40.11939894244675,36.69176255283645,0.9822887481987934,0.975945985690582,33.1431951410155,33.82157613582447,0.9780075571126263
P08,35,R,34.95685720061514,29.31194065380675,40.566913045728136,35.52558129984032,0.9908150172152079,0.9846689375086328,33.56101458924479,32.841248132144614,0.9829660368088627
P08,37,R,37.863766798574886,30.23531809674388,41.03995700806115,37.58794403831028,0.9917499616180968,0.9685167461256919,34.01274889426903,34.32482445166607,0.9659642454634171
