part,trial,side,mmc_flex,mmc_hipC_shLive,mmc_hipC_actLive,omc_vert,omc_trunk,omc_trunkc,lean
P08,40,R,38.93352385442937,40.0250430324125,48.34341998170644,43.81191291248842,37.819039007680466,37.39980715376256,6.425757925328381
P08,42,R,28.526014386437236,27.934680258880736,48.5258487571945,44.92304502168973,39.08182960802228,38.52395905983467,6.65258434538296
P08,44,R,39.44555082231651,40.277988849629,49.21527395942725,45.75051718518612,39.444079526970626,38.95791176975855,6.847255593577886
P08,46,R,38.91284269688316,39.33175495261395,51.007261996477816,45.577977305489476,39.161593550557775,39.021741604940864,6.802259408268517
P08,47,R,27.582936586597047,27.578669063144094,47.47866019188429,45.4987414645382,39.19725449008412,39.018237825415376,6.640440092149653
P08,48,R,37.85977078981865,37.55559374837379,48.887673209765595,44.80893122125494,38.7660964887896,38.553236486404785,6.288155888356343
P08,50,L,39.39664631656201,41.02210472372625,60.820454072792494,52.387531962065104,48.96398879498156,45.90637979476538,5.66852232457841
P08,51,L,43.79524570862665,44.16637849016193,58.20436528083405,50.87964243620156,44.85916671488163,44.92375780255855,6.40789033990792
P08,52,L,45.90069202455524,45.75070042283438,61.15756747181092,53.02512106556809,47.87129008564304,46.87276904187396,6.304477588951894
P08,53,L,38.056864087832494,39.67696850279794,59.447785587493186,51.798386107568305,46.90805708957189,45.60771825525769,6.3223686554277725
P08,54,L,43.39319870642609,43.50301286305148,60.52661259598095,50.49929675107558,45.56327693662015,44.51618784373114,6.2752404783923215
P08,55,L,37.72826361805291,39.74566196635775,59.108850457261674,50.94486473284333,46.562744982613516,45.439099845814674,5.7417776545383665
P08,56,L,43.05858761338861,43.202374454919976,61.25973025200193,50.70606907254955,46.150669388264184,45.205548552140215,5.862117999357596
P08,57,L,43.636151929297185,43.67460993446452,61.87730186567806,50.59006898153649,46.042071003220784,45.1718875587175,5.998557170641181
P08,58,L,49.801899199735274,50.05394307037798,61.93547938325284,54.46335585974689,48.65065178371717,48.87119126344223,5.947945024661375
P08,59,L,40.364604378680085,40.56051526054174,57.672245982807944,52.828131171079264,47.05112779459568,47.21054107110984,6.031575963240007
P08,60,L,38.15448347649815,38.60312380539753,56.13745209476192,52.34927468888169,46.688408307112674,46.71715061191056,6.047344174970098
P08,61,L,42.506327905899454,42.821674315346435,59.986076307268824,50.24775164103839,45.370096332704655,44.48705984277302,6.249151857902069
P08,62,L,34.196722794985206,36.50131397957487,56.034453361772755,48.09033934794455,43.15938759094676,42.3943447579102,6.098183406563772
P08,63,L,40.892497496456265,41.02198382517441,58.573430719101005,48.26277657683491,43.64532414206689,42.744587284149695,6.003399187359314
P08,64,L,37.42945978802063,38.16718923558774,57.43726727939237,49.77682676214442,45.2576469132948,44.21136541390617,6.086550479884367
P08,65,L,35.537382856949044,36.365391752189396,54.12741465600631,48.72005746939392,44.4846325557722,43.34203255352808,5.519508857257986
P08,67,L,36.02539370212274,38.02500909054226,57.19947710013923,49.54491828783075,45.12688247515855,44.285204432204694,5.963737427241812
P08,68,L,36.20847852649778,38.1412865085597,57.69619725853764,48.87784236230221,44.44617131869633,43.38645466991294,6.299686517044561
P08,69,L,34.62694666162553,35.43342023611416,54.527699470806404,46.85595024681349,43.0806782679369,42.10960453642033,5.875074640297005
P08,72,L,32.28484558430792,32.6303852093091,49.17704631459842,45.5881959786226,42.18324400311873,40.59925621219113,5.627037398849161
P08,73,L,36.77902718766523,36.99649985492652,51.94305666703229,44.81538997093489,40.603692539800036,39.96573011223563,5.577983376617672
P08,74,L,38.78874289603178,39.409379981686385,55.71249573322661,46.01917854231843,42.39894322812645,42.3388339018411,5.749166573968712
