part,cond,amq_std,our_std,lean_std,amq_vs_lean,our_vs_lean
P07,affected,1.1756763474338938,3.119130051417462,1.6034582971114304,-0.5345490740915445,-0.7718220271390006
P07,affected,1.756537367406777,3.2799742007683546,1.8147315328198583,-0.3875407562660554,-0.6220387611134656
P07,affected,1.833860146693081,3.7663372695497035,1.4703923011812612,-0.5392562577814475,-0.15055791007762157
P07,affected,1.5592949180088058,2.9101486530222997,2.078270633217088,-0.5413813472831133,-0.5290882141737482
P07,affected,1.6692233227714202,3.0188904028825494,0.8847214137408211,-0.34039145096012596,-0.11750208885372046
P07,affected,1.8286862186882182,3.578865959096933,2.0676568599195146,-0.4964550147174352,-0.6045245908154047
P07,affected,1.6157102705145472,3.6569542179155543,1.0998546417800015,-0.274545377706871,-0.4195306055943868
P07,affected,1.5375161713262604,2.0769065641698696,1.7194063644648365,-0.7189028347635715,-0.856608620434146
P07,affected,1.6852052417711727,4.098236025127519,1.6362169555605353,0.22662776110133442,-0.7613969359504396
P07,affected,1.0396938900152903,2.84107457218517,1.0550100161541343,-0.5313062078734476,-0.6502895351547163
P07,affected,0.8620670297254848,2.654717070529892,0.7558815638883859,-0.18325810602917247,-0.4552093171647188
P07,affected,1.4865549561812796,4.221460206735847,1.9174472703457208,-0.223351541002161,-0.751598395710264
P07,affected,1.5103528494843395,4.561508945636282,2.292632539031333,0.17979114165435028,-0.8006906708663065
P07,affected,1.416057634985817,3.180469566960175,0.8876103214058453,-0.4751308981915248,-0.3706655434746936
P07,affected,1.1059031232342236,2.6330722047155155,1.7395531380895106,-0.36035890939292825,-0.921476758357252
P07,affected,1.1104949443925123,3.236928396855403,1.833058845860606,-0.13097758898806122,-0.7954758786785363
P07,affected,1.1937866932136052,2.8797902502768697,0.8813850952928673,-0.34760165651159625,-0.7982799852621015
P07,affected,0.9926436039079273,3.469755088868443,0.6402618309177542,0.19867990213161785,-0.8671371897968391
P07,affected,1.5155240598588298,3.4546370750380753,0.9644236973930949,-0.17167994037799497,-0.4832570791100304
P07,affected,0.8821700907421441,2.528596196041752,1.8606398939718924,0.4220234300076124,-0.9893827321860595
P07,affected,1.0390616605167584,3.912558715608056,1.5881489739911854,0.21962234120980137,-0.8235829142625652
P07,affected,1.0429998103425793,2.0911752549787184,2.088481383647804,-0.2276947132658104,-0.8052574969707523
P07,affected,1.2195739514965784,2.2657643366769173,0.932973046562979,-0.6214852174964083,0.370635061339128
P07,affected,2.470070315883487,1.8093036658404429,0.5421898426030207,-0.562301673643437,0.7344755093822141
P07,affected,1.2971362803077748,2.605713586646592,2.330422796385652,-0.5097580743610356,-0.9019258537773907
P07,affected,1.4178865065705857,3.81905959460958,1.2710360760332202,0.46314568506781095,-0.8181401001243003
P07,affected,1.4116960333934185,3.7558692854804456,1.4788132175486557,0.28200238244037173,-0.7506276791821398
P07,affected,1.1116184625325254,3.4895689609893092,0.8558110447895074,0.32361549061064904,-0.7856454112466347
P07,affected,1.5373587578335233,3.32407501633547,0.797733151654413,0.023719521631909393,-0.4935582708123956
P08,unaffected,6.667057954683168,4.225858552823197,0.18917732380911337,-0.4811951277808148,0.4866818662693107
P08,unaffected,6.04014488794543,3.6032500312153317,0.12541649512104558,0.7493909671037667,-0.7465741317758074
P08,unaffected,6.255308476765858,3.688419944219536,0.10799188088773524,-0.5426060199246954,0.5475203771711677
P08,unaffected,7.579799050623275,4.589377102626264,0.16707089031317,0.17511820456501687,-0.18988522217190998
P08,unaffected,8.028161609087789,5.1187705223475755,0.20885747400633464,0.7694511347148519,-0.7691829412058564
P08,unaffected,7.681038526153431,4.707502380938864,0.3083546995702913,-0.9187493764253244,0.9108738594822002
P08,unaffected,7.152767305363797,4.161176499167174,0.21911509061838425,-0.5412734166664603,0.5273535797476039
P08,unaffected,6.286008314755641,3.572105816762524,0.5646003490197612,-0.8761580012443877,0.8731910595211294
P08,unaffected,6.12317899611475,3.3923121985494635,0.6023575832981288,-0.875459381738894,0.8778895223090449
P08,unaffected,6.389476882665618,3.6615214287675544,0.6502783845351288,-0.8383584823591745,0.8370724202755666
P08,unaffected,6.898048493699613,4.1383538802815,0.635871501665639,-0.9740174291832806,0.9755500169167753
P08,unaffected,6.370143508751061,3.581108603383499,0.34542606843810825,-0.8778900468258455,0.860803514449712
P08,unaffected,6.19758282086571,3.508876184262196,0.4856931672893131,-0.9216166266383755,0.9411434188711589
P08,unaffected,5.816230773553633,3.1285569458908067,0.5445143604198116,-0.8597997582751085,0.870315587749463
P08,unaffected,6.316633153987451,3.2584562992396724,0.609168699302693,-0.9201037330809138,0.9069768952070077
P08,unaffected,6.09650960082768,3.3169178032197983,0.6277668310509088,-0.889069768057724,0.8799377303684637
P08,unaffected,5.677380691277992,3.1439511035818266,0.3382429049196811,-0.7663877007719961,0.7655107532878554
P08,unaffected,6.470224633004819,3.8073875188860344,0.5031395555009749,-0.7767931108932559,0.7804756710958767
P08,unaffected,6.206746495650688,3.6550451577001226,0.3910111809954664,-0.9152337209588961,0.9321615461634661
P08,unaffected,6.438037130813589,3.6378356670034573,0.4661485963893263,-0.8977217292023475,0.8851122310089135
P08,unaffected,5.493806032384427,3.155203289015159,0.5185342552355244,-0.892816790769481,0.888632057889503
P08,unaffected,5.510471120760251,3.196970868978929,0.45168310395140443,-0.6857798003047423,0.715324006406256
P08,unaffected,6.449745349748116,4.095113215152623,0.240487491766738,-0.8171481499090728,0.8188383424084684
P08,unaffected,6.190851090612043,3.776022211504215,0.2795146703057017,-0.7959928117073747,0.8197941612219087
P08,unaffected,5.965257735856376,3.6888525783797417,0.3824465417619126,-0.8255545800025768,0.8151302781339465
P08,unaffected,5.919477095981226,3.7065171430905712,0.5521208161058418,-0.9230583499406733,0.9230913899014178
P08,unaffected,8.122835993612131,5.177358111065312,0.5163866317960634,-0.9343306657430158,0.9339772157814955
P08,unaffected,5.97314777305638,3.8984349453198526,0.29669836090074386,-0.7935408811512955,0.8145404541152811
P08,unaffected,5.696076775353902,3.5217446798180214,0.4347355843741542,-0.9239678441556988,0.9276760442156988
P08,unaffected,6.274557656385701,3.7063487759024016,0.37331127939455067,-0.8746650229850769,0.8679538376683462
P08,unaffected,7.042825710579686,4.330053535983134,0.563731443901707,-0.9271790483188336,0.9254746661465864
P08,unaffected,6.5747789026410555,4.12646115281358,0.43469534522732234,-0.8879128503768318,0.9003164390310844
P08,unaffected,6.581800790459092,4.157049434581025,0.4521799115818073,-0.90491527442665,0.8881455256122937
P08,unaffected,6.232145596950039,3.898851682679836,0.5171101837617333,-0.8722433903117025,0.858813167034798
P08,unaffected,6.236158398902545,4.035338872856243,0.33480220795961385,-0.9402426298284441,0.9430998542534405
P08,unaffected,6.462153654306476,4.266881880697296,0.38619287427148974,-0.8102827344154871,0.8020057345712621
P08,affected,4.106848889929877,3.056642389440676,0.8694553401004546,-0.6585870859149451,0.7690852353633307
P08,affected,5.967573352241742,3.796846905357169,0.6752540099037548,-0.888663544360698,0.846025624930434
P08,affected,7.200213988649402,4.93707985009806,0.9291649229149838,-0.9192499820693205,0.9039997463896396
P08,affected,6.612178165048248,4.481125246589476,0.9705057245857264,-0.8683353870257539,0.8396541938508167
P08,affected,6.5842699329583265,4.235450429212604,0.8923276339487526,-0.8604956996542089,0.8336847362081388
P08,affected,6.150600021372892,4.223483187541169,1.1935611474886938,-0.8492975412461019,0.8477720652066778
P08,affected,6.6163184603484435,4.592542131028118,1.0122265748506591,-0.814996618922043,0.7972100515462726
P08,affected,5.99796618169979,4.265306451417747,1.0208741168491033,-0.8033884065518254,0.7880207415442149
P08,affected,6.455635528044702,4.53396468827916,1.2171628570272905,-0.8378264993174809,0.8237104975219239
P08,affected,6.419227147803391,4.262220749151936,1.139232263816693,-0.8344469605766,0.8246006692258043
P08,affected,6.342608746978121,4.5888066339046105,1.2074077923284792,-0.8680119175683342,0.8673715189356002
P08,affected,5.916351258879961,3.991344525840625,0.9302479589820255,-0.7900090063547516,0.7777403862083728
P08,affected,5.3210703819727065,3.368357233017702,0.7968183828086243,-0.8108419651472953,0.7640939526277862
P08,affected,5.480902137993753,3.641709146188149,1.0317431391934664,-0.8125796435127645,0.8112046196837396
P08,affected,5.829741848930945,4.032634193308942,0.9765652205438723,-0.8678739078930982,0.8476867037519952
P08,affected,5.973782179281896,4.238174523839666,1.0605523336598877,-0.9090963790544878,0.9217308491366835
P08,affected,6.036896009968934,4.052203528410283,0.9704858196307901,-0.804952951689486,0.7683474306319256
P08,affected,5.857329858006809,3.830888923735228,0.9740597610623677,-0.8254859276066034,0.7843965369523953
P08,affected,5.67888095639865,3.5021628327771044,1.2703341340558727,-0.8237587158063026,0.7776150332431806
P08,affected,5.630420235555787,3.630644245401878,1.383692945368405,-0.9066149630574777,0.9297525903959853
P08,affected,5.333765608729556,2.9637198646825005,1.1364649943847074,-0.8822206854417054,0.8755217876080432
P08,affected,5.3782513432412085,2.95430152739802,1.2881320237222014,-0.7637204341110748,0.6262943315386199
P08,affected,6.471955595475727,4.131897071310751,1.232327841953929,-0.8289803272322553,0.7948788230682519
P08,affected,5.564625048438256,3.7742126065428607,1.5480675398856185,-0.8225857655506991,0.8025693209954826
P08,affected,5.917620960131807,3.6875603603609353,1.6221383191224472,-0.8256265098029805,0.8118740041130961
P08,affected,5.953852786623109,3.9113877772933807,1.4081148453155312,-0.8004516391052373,0.7747687702790462
P08,affected,7.137941080374722,4.562370946125897,1.2349615911644758,-0.8359920110763226,0.8044542613086023
P08,affected,5.754912566395825,3.517967941080212,1.4895643274102601,-0.8023013659977886,0.7621978331425295
P08,affected,6.06019713763726,3.7166012166550693,1.379507259650715,-0.8826507937505165,0.876916060856106
P08,affected,6.273940865596928,4.0544731612744815,1.1885842313993014,-0.8644356374268471,0.8750085105914119
P08,affected,6.382401403795922,4.1195542177657165,1.2605782082528247,-0.874773907160131,0.8549230858522466
P08,affected,6.246069240994166,3.7234087795166926,1.2330128418473245,-0.84403494655365,0.81574096023153
P08,affected,6.35586659692332,3.937715045720778,1.1532268881715177,-0.8320067944504308,0.7810427012170894
P08,affected,5.570659004248227,3.48149577756473,1.3659684431084202,-0.8552079309212606,0.8561494677626278
P08,affected,5.482565762008165,3.01033994802835,0.9606335670844154,-0.8226546496116154,0.7200127989779523
P08,affected,6.383398391047827,4.392413660140098,1.1054138163538407,-0.9654771780174032,0.9748991269102173
P08,affected,5.770997926598414,3.8612812608409275,1.3417844545573763,-0.7915356424062403,0.784042875416375
P08,affected,6.770436422427139,4.6991708199658255,1.3370243014076255,-0.902336209531963,0.9026089220881152
P10,unaffected,6.080536471641521,8.611979707105906,2.007689840125348,0.10873470143481526,-0.35263456616714334
P10,unaffected,5.25869893231785,7.962644932391839,2.6878586709948955,0.7692732503313876,-0.8764590528007787
P10,unaffected,5.328459433460876,7.960648734403123,3.0629449477864465,0.7651549495796186,-0.8852036337472368
P10,unaffected,5.418578816968229,7.951534246339152,3.1185809394174613,0.6974087601476934,-0.8568966525903232
P10,unaffected,4.8183175520491694,7.864156485825886,3.699333656340751,0.7689478275955611,-0.8925369264320789
P10,unaffected,5.1402749979517495,8.763118520136114,3.941718419679686,0.656326612000817,-0.8694957749939415
P10,unaffected,4.88720175951624,8.235801437357525,3.7090474052275892,0.7473898164730414,-0.9020671205912022
P10,unaffected,4.987467036203781,8.275807792486756,3.770450581820893,0.8243175583147244,-0.9383582250520415
P10,unaffected,4.346947789288231,7.321135855428879,3.468829835660273,0.8336066795591272,-0.9353633660704266
P10,unaffected,4.632722009293262,7.4283097684737465,3.3835789253812583,0.8231280454922711,-0.9258999335061969
P10,unaffected,5.224182550967292,8.42547212223707,3.337300575938347,0.700474327108349,-0.8547004543697424
P10,unaffected,4.6787097872967545,8.919688237887232,3.956545914780845,0.6063347037839816,-0.8390127356260668
P10,unaffected,4.536518889008987,7.896594149920925,3.137531265790781,0.6302944519387859,-0.8428565571440858
P10,unaffected,5.024727741286003,8.436895017147094,3.664900274465337,0.7606751864836097,-0.9073948042479895
P10,unaffected,4.2617539441080865,8.1030847350937,4.154404585415967,0.7589938453008412,-0.9249781385329044
P10,unaffected,5.307779453814822,9.185002726449072,4.625720670107851,0.8022997731933073,-0.929871925887039
P10,unaffected,4.1899145339758626,7.581199599439028,3.925598255034288,0.742457613067403,-0.9228209703198746
P10,unaffected,5.247547869219392,8.687097750056205,4.105755477196388,0.7836166755281799,-0.9214968251521609
P10,unaffected,4.7038352912904084,8.003987652653217,3.8927216522988406,0.768826198951285,-0.9172939324408002
P10,unaffected,6.4681163797124235,9.38925249427556,3.7570150186350832,0.8578253352778092,-0.9528131704922447
P10,unaffected,4.514932060309817,8.962568018009348,4.500334680908338,0.6666679775498483,-0.8839152738531751
