src,part,trial,drink_outside_hold,short_hold,short_drink,hold_touches_start,hold_touches_end,no_rest_pre,no_rest_post,cup_nan_frac,hand_nan_frac,no_track
mmc_c3kf,P07,trial_36_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_36_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_36_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
omc,P07,trial_37_L_unaffected,False,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_37_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_37_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_37_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_37_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_38_L_unaffected,False,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_38_L_unaffected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_38_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_38_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_38_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
omc,P07,trial_41_L_unaffected,False,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_41_L_unaffected,False,False,False,False,False,False,False,0.0,0.0034965034965034965,
mmc_c3kf,P07,trial_41_L_unaffected,True,False,False,False,False,False,False,0.0,0.0034965034965034965,
mmc_c3kf_wr,P07,trial_41_L_unaffected,True,False,False,False,False,False,False,0.0,0.0034965034965034965,
mmc_c3kf_wr2,P07,trial_41_L_unaffected,True,False,False,False,False,False,False,0.0,0.0034965034965034965,
omc,P07,trial_42_L_unaffected,False,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_42_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_42_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
