part,trial,mmc_min_drink,omc_min_drink,gap,ncam_drink,ncam_all,seq_mmc_drink onset,seq_omc_drink onset,seq_mmc_drink offset,seq_omc_drink offset,err,bad
P12,trial_25_L_unaffected,603.6755316158356,106.60001692709106,497.0755146887445,0.0,0.10714285714285714,108.0,187,295.0,220,79.0,True
P12,trial_26_L_unaffected,58.58330685942687,107.92336993538662,-49.34006307595975,0.0,0.3813559322033898,166.0,165,223.0,233,10.0,False
P12,trial_27_L_unaffected,628.8580652728998,108.12198919457441,520.7360760783254,0.0,0.39903846153846156,122.0,179,128.0,296,168.0,True
P12,trial_28_L_unaffected,61.22082413987485,110.56314195323947,-49.342317813364616,0.0,0.3675675675675676,159.0,190,240.0,247,31.0,True
P12,trial_29_L_unaffected,642.5582712141949,115.59252278296714,526.9657484312277,0.0,0.39267015706806285,124.0,168,129.0,253,124.0,True
P12,trial_2_L_unaffected,578.644237632752,117.20929850140317,461.43493913134887,0.0,0.2704714640198511,156.0,154,346.0,263,83.0,True
P12,trial_30_L_unaffected,598.9661329081375,118.34879788953135,480.6173350186062,0.0,0.2838541666666667,115.0,155,138.0,249,111.0,True
P12,trial_31_L_unaffected,664.2371524969445,98.35623039890928,565.8809220980353,0.0,0.2809917355371901,248.0,165,362.0,216,146.0,True
P12,trial_32_L_unaffected,659.0619382264492,111.17886997242451,547.8830682540247,0.0,0.25831202046035806,109.0,189,125.0,269,144.0,True
P12,trial_33_L_unaffected,648.9301687486095,102.4288646081153,546.5013041404942,0.0,0.28746928746928746,309.0,186,406.0,249,157.0,True
P12,trial_34_L_unaffected,73.87573529006757,114.80905279928746,-40.93331750921989,0.0,0.23163841807909605,168.0,173,232.0,221,11.0,False
P12,trial_35_L_unaffected,71.61737542990313,111.60937330164619,-39.99199787174305,0.8554216867469879,0.4753246753246753,170.0,169,228.0,231,3.0,False
P12,trial_36_L_unaffected,71.15012332986706,107.79508670890249,-36.64496337903543,0.0,0.11855670103092783,159.0,195,222.0,234,36.0,True
P12,trial_37_L_unaffected,71.96068468995618,120.86675320379346,-48.90606851383728,0.0,0.21727019498607242,152.0,161,218.0,236,18.0,False
P12,trial_38_L_unaffected,638.9173188184022,117.00894152090491,521.9083772974973,0.0,0.36153846153846153,113.0,173,118.0,245,127.0,True
P12,trial_39_L_unaffected,620.029189308342,116.32611517817497,503.703074130167,0.0,0.24260355029585798,105.0,149,337.0,222,115.0,True
P12,trial_40_L_unaffected,645.0802963354558,115.6455651333886,529.4347312020673,0.0,0.17435897435897435,146.0,167,389.0,229,160.0,True
P12,trial_41_R_affected,62.290381207888124,119.04401132031695,-56.75363011242883,1.0,0.9937238493723849,184.0,182,255.0,258,3.0,False
P12,trial_42_R_affected,58.67199535545793,125.79587002631905,-67.12387467086111,1.0,0.680327868852459,242.0,237,303.0,317,14.0,False
P12,trial_43_R_affected,62.377115018220294,124.15246660873163,-61.775351590511335,1.0,0.9618834080717489,213.0,207,272.0,283,11.0,False
P12,trial_44_R_affected,60.047146437724514,120.62317889909902,-60.5760324613745,1.0,0.9588100686498856,206.0,200,269.0,280,11.0,False
P12,trial_45_R_affected,64.71688229780287,128.77776101886332,-64.06087872106045,1.0,0.9846153846153847,194.0,187,261.0,272,11.0,False
P12,trial_46_R_affected,61.671709286574945,128.13091526552816,-66.45920597895321,1.0,0.9976415094339622,171.0,163,254.0,255,8.0,False
P12,trial_47_R_affected,65.74944733049436,125.94208949457195,-60.19264216407758,1.0,0.9976798143851509,205.0,207,286.0,290,4.0,False
P12,trial_48_R_affected,64.96662175654214,118.11702553103713,-53.15040377449499,1.0,1.0,210.0,206,291.0,299,8.0,False
P12,trial_49_R_affected,59.915026104033714,127.47810710790615,-67.56308100387244,1.0,0.9705882352941176,191.0,183,256.0,275,19.0,False
P12,trial_4_L_unaffected,642.3956344157937,112.63413331163918,529.7615011041545,0.0,0.5670103092783505,277.0,172,283.0,227,105.0,True
P12,trial_50_R_affected,59.56530723576486,127.67348296131104,-68.10817572554618,1.0,0.721868365180467,211.0,207,304.0,311,7.0,False
P12,trial_51_R_affected,62.91859202270672,127.28447830385188,-64.36588628114517,1.0,1.0,226.0,231,334.0,348,14.0,False
P12,trial_52_R_affected,64.16755686429653,117.83213167239839,-53.66457480810186,1.0,0.9978070175438597,184.0,184,290.0,297,7.0,False
P12,trial_53_R_affected,67.08427630849874,130.04800647777253,-62.96373016927379,1.0,0.9917864476386037,199.0,198,301.0,317,16.0,False
P12,trial_54_R_affected,60.864278713305296,125.54900333659772,-64.68472462329242,1.0,0.9953810623556582,209.0,200,263.0,272,9.0,False
P12,trial_56_R_affected,65.27569080399947,122.02238857423899,-56.74669777023952,1.0,1.0,208.0,204,322.0,329,7.0,False
P12,trial_57_R_affected,64.12626470411595,129.1523711389601,-65.02610643484414,1.0,0.9954853273137697,209.0,195,293.0,297,14.0,False
P12,trial_58_R_affected,62.64310259126354,123.41246092739357,-60.769358336130026,1.0,1.0,186.0,176,258.0,264,10.0,False
P12,trial_59_R_affected,58.29637796539396,124.67063260634498,-66.37425464095102,1.0,0.8447488584474886,188.0,185,297.0,303,6.0,False
P12,trial_5_L_unaffected,62.791010395096365,115.74407474730135,-52.95306435220499,0.0,0.10230179028132992,165.0,160,215.0,225,10.0,False
P12,trial_61_R_affected,61.43051268533096,114.50068414434196,-53.070171459011,1.0,1.0,197.0,181,309.0,316,16.0,False
P12,trial_62_R_affected,60.15934241369328,117.99489741002756,-57.83555499633428,1.0,0.9823399558498896,225.0,225,325.0,329,4.0,False
