part,k,subset,cov,err_wr,err_el,err_sh
P07,2,23,10.890088081359863,35.535774208195484,63.79173563482386,48.018649234511095
P07,2,24,42.33165740966797,23.1927958910844,51.642881461772845,52.83430745464912
P07,2,34,35.06327438354492,26.22144503677269,46.613668887449016,51.405025763979054
P07,3,12,40.72708511352539,27.58818484954805,55.59572123996633,30.408993488069218
P07,3,13,45.72364807128906,23.88468325800798,44.3204930106803,30.823383394737647
P07,3,14,80.72357177734375,20.616564561965717,50.55178659474452,43.84126851487069
P07,3,23,10.890088081359863,25.155422641741264,45.98158272144651,28.6058319293469
P07,3,24,42.33165740966797,21.07800181742311,47.93791849520696,37.64088561208114
P07,3,34,35.06327438354492,24.309278882341754,38.877873762189,36.24442920328845
P07,3,123,32.44694137573242,23.029643343102894,46.74575434105925,37.379075601563926
P07,3,124,54.5941047668457,21.4498831009934,49.97553524938239,46.69522174754484
P07,3,134,53.83683395385742,23.61689187804533,44.58243169426103,43.21642287544467
P07,3,234,29.4283390045166,23.56673669809674,47.89768721516898,50.88009724355803
P07,4,123,32.44694137573242,22.287724886100765,47.30583601326676,30.595999521403016
P07,4,124,54.5941047668457,19.3615239606763,50.05937076555011,38.07459089545878
P07,4,134,53.83683395385742,21.7731910483714,43.62637827101052,37.04311669715599
P07,4,234,29.4283390045166,21.79287002492229,44.45250757135535,36.15106647180936
P07,4,1234,42.57655715942383,22.01592688192468,46.45776027899333,43.90791128728674
P07,5,1234,42.57655715942383,20.234172714744595,46.02501744637579,36.51288114833222
P07,2,1,,31.284789083420897,60.89145692088362,32.50746645180033
P07,2,2,,28.308936076020824,51.54077761311507,28.767164978328434
P07,2,3,,30.26757102460234,42.40183570969507,31.083926705889997
P07,2,4,,29.89342891546287,47.53598956448515,76.075741515662
P07,2,12,40.72708511352539,26.07087129490581,51.5950974022358,38.57090121516428
P07,2,13,45.72364807128906,30.14149145866332,46.30103442636592,38.32183967065826
P07,2,14,80.72357177734375,23.45099607068488,51.98173845677076,50.82639485262708
P07,2,23,10.890088081359863,43.188584252940096,67.93267925461545,51.53949931531952
P07,2,24,42.33165740966797,22.18982916653107,51.90907437919301,52.30227504177718
P07,2,34,35.06327438354492,30.344330912482192,48.99562467004336,50.9082721987523
P07,3,12,40.72708511352539,27.860277629393437,55.32138788473003,32.06048836629399
P07,3,13,45.72364807128906,26.18748458293979,46.043140162740464,32.21266340304969
P07,3,14,80.72357177734375,20.65985903627324,51.78860581781332,44.26710069977782
P07,3,23,10.890088081359863,27.085885286722966,48.03730635939971,30.888989249821822
P07,3,24,42.33165740966797,21.484959310688136,49.38980044792194,38.50603049350382
P07,3,34,35.06327438354492,26.319165988243864,41.17153044218316,36.69235499283497
P07,3,123,32.44694137573242,27.060666305266466,48.80533441251424,37.910191830159285
P07,3,124,54.5941047668457,21.313022041176477,50.68370069142062,46.60662181481212
P07,3,134,53.83683395385742,26.580194870932157,45.85739142514726,43.40986081047417
P07,3,234,29.4283390045166,25.12642809768452,48.71159621092024,50.654869646713
P07,4,123,32.44694137573242,24.897884289126036,48.66479722751886,32.16436750018162
P07,4,124,54.5941047668457,20.392825648517448,50.9162253835899,38.78566813666709
P07,4,134,53.83683395385742,24.18966575632176,45.175346270708246,37.779167917253766
P07,4,234,29.4283390045166,23.750934983837947,46.151965703322006,37.23636956408938
P07,4,1234,42.57655715942383,24.14808908985801,47.51533602665211,44.0966171945196
P07,5,1234,42.57655715942383,22.682220363307344,47.32007888251964,37.41248361259154
P07,2,1,,34.134501638708194,60.32210299332826,31.470979895101387
P07,2,2,,32.13048880864802,52.54210709930292,28.267327864782303
P07,2,3,,32.143958121230426,41.31211492477865,32.40841137250299
P07,2,4,,33.02720845300905,45.3825773966522,81.59255539751022
P07,2,12,40.72708511352539,28.451605957021723,53.24259958889234,36.45360052993564
P07,2,13,45.72364807128906,27.90375035504793,46.45877131482106,38.51820933856256
P07,2,14,80.72357177734375,24.962567870264564,51.58546005887197,50.40617160805825
P07,2,23,10.890088081359863,36.53314639173762,67.08153814740551,47.549235817548656
P07,2,24,42.33165740966797,24.36551144055837,54.026330548803536,51.028955235866086
P07,2,34,35.06327438354492,29.253095816225667,48.19955280475266,50.48145791942722
P07,3,12,40.72708511352539,30.66260367139368,55.462526366116286,31.052864297986304
P07,3,13,45.72364807128906,27.67881970924333,45.529740320779446,32.396813121701776
P07,3,14,80.72357177734375,23.396501045005003,50.46695174956881,44.12087582333668
P07,3,23,10.890088081359863,29.877777149891735,48.00798445070686,31.03080678423313
P07,3,24,42.33165740966797,25.000767230025733,49.8999870133496,38.05764011772308
P07,3,34,35.06327438354492,27.820029095167413,40.43246683138212,37.4972594075602
P07,3,123,32.44694137573242,25.57963542140949,49.66730405697948,37.99721086799696
P07,3,124,54.5941047668457,22.67713280417104,51.7938303571424,46.59509127544347
P07,3,134,53.83683395385742,25.92264949471258,46.284824241069934,43.39811341121084
P07,3,234,29.4283390045166,26.31166539022339,50.23667783362346,49.69670821127519
P07,4,123,32.44694137573242,27.054599840357053,48.852435932268016,32.201206833566545
P07,4,124,54.5941047668457,23.366394814648547,51.211739399376846,38.618453685581215
P07,4,134,53.83683395385742,25.409546968041575,44.828401304866986,37.904243109795146
P07,4,234,29.4283390045166,26.273246295248917,46.50687721968036,36.94958608026291
P07,4,1234,42.57655715942383,24.317759694357303,48.65254354692482,44.02527117003451
P07,5,1234,42.57655715942383,24.575942057927488,47.6986744144255,37.34907880925778
P07,2,1,,29.533883263778105,59.511499085094094,32.440175165704375
P07,2,2,,26.82986935930085,51.21779749114548,28.1621268919593
P07,2,3,,27.86680876520296,41.06092720803072,33.00305310272707
P07,2,4,,30.26760813379561,44.36808829086641,78.80516597450203
