part,trial,arm,measure,omc,mmc60,mmc30,mmc30raw
P07,trial_23_L_unaffected,unaffected,peak_velocity,571.6510620117188,536.5480346679688,532.86865234375,532.86865234375
P07,trial_23_L_unaffected,unaffected,peak_elbow_angular_velocity,123.35136541554377,129.52650329366307,119.83275601932775,117.04361202635482
P07,trial_23_L_unaffected,unaffected,time_to_peak_velocity,0.9,0.8666666666666667,0.9333333333333333,0.9333333333333333
P07,trial_23_L_unaffected,unaffected,time_to_first_peak_velocity,0.9,0.9,0.9333333333333333,0.9333333333333333
P07,trial_23_L_unaffected,unaffected,number_of_movement_units,1.0,0.0,0.0,0.0
P07,trial_23_L_unaffected,unaffected,total_movement_time,5.95,5.916666666666667,5.933333333333334,5.933333333333334
P07,trial_23_L_unaffected,unaffected,interjoint_coordination,0.9773425650612909,0.978866254146101,0.9769066290495183,0.9772661475540667
P07,trial_23_L_unaffected,unaffected,max_trunk_displacement,29.82815811538144,35.417192298580794,35.84662957634008,35.84662957634008
P07,trial_23_L_unaffected,unaffected,max_shoulder_flexion,57.12889490358548,57.21300422341671,57.16591871072774,57.13588974053283
P07,trial_23_L_unaffected,unaffected,max_shoulder_flexion_drink,57.12889490358548,57.21300422341671,57.16591871072774,57.13588974053283
P07,trial_23_L_unaffected,unaffected,max_elbow_angle,153.24974125957598,154.6756486342935,155.71490877709704,155.8320523581846
P07,trial_23_L_unaffected,unaffected,max_shoulder_abduction,24.312556293310017,18.818900098850495,18.542086981406513,18.54061030581692
P07,trial_24_L_unaffected,unaffected,peak_velocity,472.3959045410156,450.5445251464844,444.8009033203125,444.8009033203125
P07,trial_24_L_unaffected,unaffected,peak_elbow_angular_velocity,108.77450703181808,110.48090873509409,100.54300199992127,98.35337589276115
P07,trial_24_L_unaffected,unaffected,time_to_peak_velocity,1.9,1.9,1.9,1.9
P07,trial_24_L_unaffected,unaffected,time_to_first_peak_velocity,1.9,1.9,1.9,1.9
P07,trial_24_L_unaffected,unaffected,number_of_movement_units,1.0,0.0,0.0,0.0
P07,trial_24_L_unaffected,unaffected,total_movement_time,6.4,6.35,6.366666666666666,6.366666666666666
P07,trial_24_L_unaffected,unaffected,interjoint_coordination,0.9824045586464574,0.9802921963251616,0.9800660493471789,0.9804451456782123
P07,trial_24_L_unaffected,unaffected,max_trunk_displacement,42.63891167658229,50.17547180289127,50.127427651817946,50.127427651817946
P07,trial_24_L_unaffected,unaffected,max_shoulder_flexion,64.5411878054101,59.10731249606526,59.066506523805025,59.01399905507109
P07,trial_24_L_unaffected,unaffected,max_shoulder_flexion_drink,64.5411878054101,59.10731249606526,59.066506523805025,59.01399905507109
P07,trial_24_L_unaffected,unaffected,max_elbow_angle,154.5260216731769,153.58256526245484,154.3178086552153,154.34747501360104
P07,trial_24_L_unaffected,unaffected,max_shoulder_abduction,38.99127379368832,22.54746306740363,22.273011381697216,22.249170159627376
P07,trial_25_L_unaffected,unaffected,peak_velocity,617.548828125,621.3436889648438,562.6953735351562,562.6953735351562
P07,trial_25_L_unaffected,unaffected,peak_elbow_angular_velocity,135.0211946513366,127.90209085919614,122.31418855845853,120.75970424973399
P07,trial_25_L_unaffected,unaffected,time_to_peak_velocity,1.4166666666666667,1.3666666666666667,1.4,1.4
P07,trial_25_L_unaffected,unaffected,time_to_first_peak_velocity,1.4,1.3833333333333333,1.4,1.4
P07,trial_25_L_unaffected,unaffected,number_of_movement_units,1.0,1.0,0.0,0.0
P07,trial_25_L_unaffected,unaffected,total_movement_time,5.9,5.866666666666666,5.866666666666666,5.866666666666666
P07,trial_25_L_unaffected,unaffected,interjoint_coordination,0.9745000597829545,0.9790087976743475,0.9743693256281338,0.9745306509158376
P07,trial_25_L_unaffected,unaffected,max_trunk_displacement,36.48929106739765,44.33033666129931,44.36945113272716,44.36945113272716
P07,trial_25_L_unaffected,unaffected,max_shoulder_flexion,62.43015815755222,59.585774301813835,59.69532277303778,59.68405991055576
P07,trial_25_L_unaffected,unaffected,max_shoulder_flexion_drink,62.43015815755222,59.585774301813835,59.69532277303778,59.68405991055576
P07,trial_25_L_unaffected,unaffected,max_elbow_angle,154.81510406846104,156.590370548934,157.0727502097041,157.10205636377484
P07,trial_25_L_unaffected,unaffected,max_shoulder_abduction,31.857193142683457,21.06926098363239,20.84344105398702,20.819521581798263
P07,trial_26_L_unaffected,unaffected,peak_velocity,561.1243286132812,516.1302490234375,519.8353881835938,519.8353881835938
P07,trial_26_L_unaffected,unaffected,peak_elbow_angular_velocity,110.05873573553686,117.98934243011303,109.37843735082879,107.16002526521741
P07,trial_26_L_unaffected,unaffected,time_to_peak_velocity,1.8,1.7833333333333334,1.8,1.8
P07,trial_26_L_unaffected,unaffected,time_to_first_peak_velocity,1.8,1.8,1.8333333333333333,1.8333333333333333
P07,trial_26_L_unaffected,unaffected,number_of_movement_units,1.0,0.0,0.0,0.0
P07,trial_26_L_unaffected,unaffected,total_movement_time,5.466666666666667,5.45,5.466666666666667,5.466666666666667
