part,cond,fstd,r_raw,pert_std,r_shrink
P08,unaffected,3.572105816762507,0.898706316280099,0.004368230460521005,0.5269977151027166
P08,unaffected,3.3923121985494697,0.8898353102024212,0.0050948265172881405,0.4993241485688398
P08,unaffected,3.6615214287675513,0.8701514691223645,0.00520376825353254,0.5206421915107073
P08,unaffected,4.138353880281517,0.9406420092376108,0.0037259570006554013,0.6166051538259659
P08,unaffected,3.581108603383494,0.8857798860701199,0.006184389622854222,0.5204987640617452
P08,unaffected,3.508876184262191,0.9573986218402193,0.0033814651836961505,0.5530957946329859
P08,unaffected,3.128556945890814,0.921271320842028,0.005580362012725725,0.4799523995671462
P08,unaffected,3.2584562992396653,0.8713244849953197,0.006510257564382424,0.47158418204832225
P08,unaffected,3.3169178032198143,0.8955844350385029,0.006661818680993606,0.49261060255139816
P08,unaffected,3.143951103581829,0.8777943402418089,0.0054252027936367245,0.45945236898618874
P08,unaffected,3.8073875188860353,0.9034626960726274,0.004560488955884276,0.5573997428330394
P08,unaffected,3.6550451577001266,0.9452437348825017,0.003898225337669794,0.5647679307254353
P08,unaffected,3.6378356670034564,0.8081105362299309,0.006111981379880237,0.48099690682980734
P08,unaffected,3.155203289015155,0.9005097300745489,0.0060264761766567225,0.47294676679712844
P08,unaffected,3.1969708689789287,0.876385620244912,0.0063481391894806396,0.46602063415215056
P08,unaffected,4.095113215152625,0.8917106448732562,0.004679938505034291,0.5802860940015304
P08,unaffected,3.7760222115042157,0.9088139594525109,0.004725448509342671,0.557141212420997
P08,unaffected,3.6888525783797372,0.8868225375790937,0.004746150083694231,0.5337823623247302
P08,unaffected,3.70651714309057,0.9397332731151388,0.0034420956760615514,0.5677788673273299
P08,unaffected,5.177358111065308,0.9167499428192296,0.0023354909874535,0.6863145020453669
P08,unaffected,3.898434945319849,0.9139268144131045,0.0043258708656926095,0.5740057049923157
P08,unaffected,3.5217446798180183,0.8830799206102202,0.005525960064401426,0.5117377704797793
P08,unaffected,3.7063487759024003,0.9255149222068156,0.0048882218529441536,0.5591681519427885
P08,unaffected,4.3300535359831285,0.8912711794500439,0.003577199858820568,0.6022036273576411
P08,unaffected,4.126461152813588,0.9256270599685819,0.003569401161557607,0.6055584632674214
P08,unaffected,4.157049434581024,0.8267435522620697,0.004826797871275787,0.5436236183659607
P08,unaffected,3.89885168267983,0.8509254447752089,0.005215204420848272,0.5344792260657268
P08,unaffected,4.035338872856242,0.930500710611009,0.004099842762705844,0.5992825606249751
P08,unaffected,4.2668818806973,0.8439822221866794,0.005719537028004064,0.56478786981648
P08,affected,3.056642389440671,0.7572018989827123,0.004761586064541276,0.38568176608873156
P08,affected,3.796846905357172,0.829458832812184,0.0068493043389101695,0.510654822923208
P08,affected,4.9370798500980495,0.9083593152976116,0.003964748323384804,0.6634067085005096
P08,affected,4.481125246589473,0.8599533564302396,0.00488133389308077,0.5938099061550639
P08,affected,4.235450429212606,0.8391431954635974,0.005494243783735474,0.5587958384558483
P08,affected,4.223483187541165,0.8813975029135306,0.005199410900374036,0.5858228097239291
P08,affected,4.59254213102811,0.8465871750262617,0.004747425144338267,0.593382816624524
P08,affected,4.2653064514177546,0.8389818844450732,0.005922407281192723,0.5613044810142221
P08,affected,4.533964688279162,0.8528662595398778,0.004529395283599329,0.593170113808641
P08,affected,4.262220749151943,0.8532754888503047,0.0052526079117026035,0.5705937988779475
P08,affected,4.588806633904609,0.9080087202056514,0.004084202410806376,0.6361240111939463
P08,affected,3.991344525840624,0.8518456377129776,0.00572673759680443,0.5443303887709008
P08,affected,3.368357233017703,0.7897952632579478,0.007477447040836579,0.4404284783994266
P08,affected,3.641709146188147,0.8499884404071674,0.007536461736835106,0.5063589225446484
P08,affected,4.032634193308943,0.8422610676081298,0.00529045758472543,0.5421934546719833
P08,affected,4.238174523839668,0.9204574980350513,0.0038141040229309965,0.6132073088780984
P08,affected,4.052203528410282,0.8364050189070525,0.0052641125595861175,0.540278326993974
P08,affected,3.830888923735226,0.7826296181671253,0.006862085990284946,0.48512358436411473
P08,affected,3.5021628327770946,0.8211226339137635,0.0067897926752621225,0.4736007206395754
P08,affected,3.6306442454018795,0.963486715967165,0.0027117075332569376,0.5725595878007143
P08,affected,2.9637198646825107,0.8972369964925313,0.006081322431838206,0.4431603822169389
P08,affected,2.9543015273980275,0.6643815827301082,0.009365523552898264,0.3270920513807926
P08,affected,4.131897071310755,0.858958783127783,0.005413746504025898,0.562454524526069
P08,affected,3.7742126065428567,0.8799944308669198,0.005662493212951944,0.5392734742680607
