part,trial,cond,measure,mmc,automq
P07,trial_15_L_unaffected,drop1,peak_elbow_angular_velocity,120.96619039702723,102.0622269268344
P07,trial_15_L_unaffected,drop1,total_movement_time,6.216666666666667,6.23
P07,trial_15_L_unaffected,drop1,time_to_first_peak_velocity,0.5933333333333334,0.62
P07,trial_15_L_unaffected,drop1,time_to_peak_velocity,0.5900000000000001,0.62
P07,trial_15_L_unaffected,drop1,max_elbow_angle,148.80627323562217,146.3124310945136
P07,trial_15_L_unaffected,drop1,peak_velocity,593.8468994140625,625.3638198967247
P07,trial_15_L_unaffected,drop1,interjoint_coordination,0.9762941037774155,0.9434220911095781
P07,trial_15_L_unaffected,drop1,max_shoulder_abduction,25.325676378349016,28.337440606051725
P07,trial_15_L_unaffected,drop1,number_of_movement_units,2.2,2.0
P07,trial_15_L_unaffected,drop1,max_shoulder_flexion,54.54816084872957,59.02507750387635
P07,trial_15_L_unaffected,min2,max_trunk_displacement,43.61453816053837,30.219970703125
P07,trial_15_L_unaffected,min2,peak_elbow_angular_velocity,149.24441766700966,102.0622269268344
P07,trial_15_L_unaffected,min2,total_movement_time,6.216666666666667,6.23
P07,trial_15_L_unaffected,min2,time_to_first_peak_velocity,0.6066666666666667,0.62
P07,trial_15_L_unaffected,min2,time_to_peak_velocity,0.5833333333333333,0.62
P07,trial_15_L_unaffected,min2,max_elbow_angle,150.83257271067671,146.3124310945136
P07,trial_15_L_unaffected,min2,peak_velocity,767.825341796875,625.3638198967247
P07,trial_15_L_unaffected,min2,interjoint_coordination,0.8867024907607636,0.9434220911095781
P07,trial_15_L_unaffected,min2,max_shoulder_abduction,25.102936873632764,28.337440606051725
P07,trial_15_L_unaffected,min2,number_of_movement_units,2.9,2.0
P07,trial_15_L_unaffected,min2,max_shoulder_flexion,51.08311309987516,59.02507750387635
P07,trial_15_L_unaffected,miscal2,max_trunk_displacement,41.79157166767244,30.219970703125
P07,trial_15_L_unaffected,miscal2,peak_elbow_angular_velocity,120.2871414983576,102.0622269268344
P07,trial_15_L_unaffected,miscal2,total_movement_time,6.216666666666667,6.23
P07,trial_15_L_unaffected,miscal2,time_to_first_peak_velocity,0.5999999999999999,0.62
P07,trial_15_L_unaffected,miscal2,time_to_peak_velocity,0.64,0.62
P07,trial_15_L_unaffected,miscal2,max_elbow_angle,148.3322474727932,146.3124310945136
P07,trial_15_L_unaffected,miscal2,peak_velocity,563.8524475097656,625.3638198967247
