part,trial,side,mmc_abd,omc_world,omc_body
P07,77,R,19.80009394068766,40.152931769671724,27.810115452626167
P07,78,R,41.515206208090405,69.70330551367782,38.716553749842475
P07,79,R,40.40794412929163,67.26415823306598,38.926795990091804
P07,7,L,17.550260896327178,24.923341955116587,23.339850812547905
P07,80,R,38.51186876272254,66.05098960790315,37.404162100698166
P07,81,R,50.872974397334744,78.15379726172019,42.255985172744154
P07,82,R,40.62585631241713,72.77742582965648,36.30595323438285
P07,83,R,47.7458655981574,74.12296152318262,41.379037032129034
P07,8,L,16.67205430307086,24.89022733654757,23.033009796325274
P07,9,L,16.215398766601346,24.280907289196474,21.963216011491383
P08,10,R,24.825392099028544,35.6204193301404,30.43015861584769
P08,13,R,24.383828106302055,35.092701466642595,28.48244007175955
P08,14,R,24.80414897577635,35.33892778185988,29.21491244859625
P08,15,R,25.134184272699187,36.045908344147286,30.211873875577346
P08,16,R,26.483619271547713,34.95070651250887,29.3067468786717
P08,19,R,24.365413938760273,35.348558648544554,29.165433548549256
P08,20,R,22.66963144353893,32.28389444637065,26.906511481103028
P08,21,R,22.395374755500658,33.88825256597356,27.23802483934013
P08,22,R,24.900753272218733,35.8020334630398,29.282145168368903
P08,23,R,26.32455058942328,36.99288800454581,29.81130631512855
P08,24,R,24.700002946053534,36.70050637234887,29.39875223508251
P08,25,R,21.382626203370805,35.151999921474655,27.496378343330072
P08,26,R,19.974686588351485,32.96142778178629,26.282611778937387
P08,27,R,25.861927609268534,37.548869152139076,30.650191322805036
P08,29,R,25.258592344322572,35.755127567235114,28.180528912584588
P08,2,R,24.856605417043816,36.742885749303625,31.024920109845386
P08,30,R,22.10261160674165,35.55401520506249,27.920286357802308
P08,32,R,22.03483214153435,35.30446492247698,28.058642594242805
P08,33,R,24.76256164389532,35.25988479907675,28.471408311417353
P08,34,R,25.88810933522921,36.69176262996702,30.299723071652785
P08,35,R,25.522151765763464,35.52558138034152,29.38666291624197
P08,37,R,26.69883847768523,37.58794411297386,30.98218117188963
P08,38,R,24.82684647436209,35.11716073160087,28.64245187543271
P08,39,R,22.544266003800033,35.58709115092562,28.687747452377454
P08,3,R,23.75790337903219,34.494871086710425,30.164937729288326
P08,40,R,23.640868188650515,35.33481401657566,28.234136818151214
P08,42,R,25.99157749054267,37.32066772959963,30.405510342740488
P08,44,R,25.648191965969698,37.05345242647338,29.646530215079803
P08,46,R,27.728232028653334,39.21019080218464,32.117035891591016
P08,47,R,26.570088005905998,39.184556964920446,31.92001404878928
P08,48,R,26.550000811947058,37.1113562611958,30.18291543969517
P08,4,R,24.895253781802623,36.408499381426694,31.983236702450803
P08,50,L,40.81025399480398,44.530680472050264,43.11901783464953
P08,51,L,34.189912981355896,40.17089929690443,40.36556199563924
P08,52,L,38.00181189432179,42.980871599531,43.65556363708439
P08,53,L,40.99641799281627,43.76962982550384,44.37290663451941
P08,54,L,38.32139677846554,43.15948348057344,44.14135552867038
P08,55,L,39.769591905671774,42.509297019937556,44.21716803669246
P08,56,L,38.83950348942067,43.53698110821459,44.53202968153592
P08,57,L,40.667333503604425,44.25583545862727,44.99448440129614
P08,58,L,38.494150392529356,42.84613138327945,45.17656369234168
P08,59,L,38.7920976764876,42.43932087337675,44.55318209181272
P08,60,L,37.8283123238933,41.86447244843036,43.45791606368663
P08,61,L,37.72091688524767,43.264524170479156,44.798841922512345
P08,62,L,37.40446881138051,40.901487442849785,43.02712102637571
P08,63,L,36.16970422411577,41.08243799592265,42.854943525401914
P08,64,L,38.98601734907958,42.70779241825738,44.54150963964013
P08,65,L,36.08263151858811,39.36165471511697,41.56689706145714
P08,67,L,38.52273852860417,42.34067047203357,44.37982561093094
P08,68,L,38.27778490505862,41.674410741437356,43.609955183797105
P08,69,L,36.448385233860094,39.655318736005654,43.07192912866155
P08,6,R,23.504056928352124,35.091314622782974,29.922302996260107
P08,72,L,30.98496923998856,35.044299061531355,38.45733892789106
P08,73,L,29.532327336341396,35.44122613203946,38.82674366067851
P08,74,L,33.398431578787324,37.75108348467764,41.666684471397076
P08,75,L,33.34442186981468,38.5399872836681,42.91314197893114
P08,76,L,34.45649000403019,39.91913091823115,44.07714987901042
P08,77,L,33.94302802131824,39.16983512694124,43.903322890944374
P08,78,L,34.335976223508084,39.894610879632864,44.19114638765529
P08,79,L,37.33849848464563,40.611305147098825,44.79016844947658
P08,7,R,25.41707846815989,38.501233608696936,32.81918983412362
P08,80,L,33.746681056763165,38.59039599123808,42.90519985952632
P08,81,L,33.320900374701054,36.55800284571707,40.82321426458065
P08,82,L,32.182777407179834,36.79927906633013,41.157039035944386
P08,83,L,33.60152505437958,37.72668625251344,42.5717787860117
P08,84,L,33.35343427929201,38.86516389672139,43.003059879925644
P08,85,L,33.61840632358092,39.79706540349245,43.85815245998541
P08,86,L,31.76044862287224,37.99457762915447,42.008172688156286
