part,hip_vis,tilt,flex_mmc,flex_omc,gt
P08,0.18459069020866772,1.6724033077054505,35.34982720098578,33.82400490907187,44.53808884210595
P08,0.2583479789103691,6.940911813313999,41.1496535760987,35.281840558428236,44.14330534857986
P08,0.019332161687170474,6.577756412122127,25.751678648167495,29.398686717088264,43.2903121461092
P10,0.9672131147540983,1.822563227449302,55.178925811087844,53.61794513634618,51.19228179970184
P10,0.875,1.767310569208984,58.34086327845558,57.179982055258364,54.25648315441311
P10,0.9519832985386222,1.431243857095639,46.7007127213298,45.46347274347921,42.550420854777144
P10,0.9529914529914529,1.6230791449142645,47.0231991246999,45.60480334703061,42.75492421347988
P10,0.7697095435684648,1.106519480272121,48.07161451068943,46.96732218653895,41.94738821288874
P10,0.7603143418467584,1.4559725738119658,50.43701868615486,48.98210179580416,43.63008196763773
P10,0.908203125,1.559681512317882,49.97325240589546,48.871438065936466,44.71455043936492
P10,0.8660194174757282,1.8097558484390868,54.51365300321543,53.07996124761606,49.20597277187588
P10,0.8238993710691824,1.6194471641982886,52.228915406942455,50.76906894145749,46.27006750899816
P10,0.8596153846153847,2.0085217169367082,55.232103658538186,53.29388469635877,48.6114453849231
P10,0.7738970588235294,1.3834543789332032,49.95872274505319,48.62523391054089,47.33194587708311
P10,0.5342639593908629,2.456042929455138,61.05048668829733,60.78862489251339,44.092091166075875
P10,0.8227474150664698,3.6452723213851095,46.67990635921543,43.1160607664991,44.64494239798631
P10,0.5369718309859155,1.51535748156231,46.13719029599598,44.64917561987921,45.57450016420486
P10,0.6330097087378641,3.0658586203477536,48.285684852005716,45.297435977824364,49.376000795739
P10,0.49502982107355864,2.3897492452564837,52.666915109891356,52.611451557161004,49.649829743475294
P10,0.5822784810126582,2.476021739872292,52.879875973928975,51.940319953827775,53.178006304939146
P10,0.9214953271028037,2.038090459129776,56.07160454904107,54.03502348678987,50.132006477937786
P10,0.729106628242075,2.162134516542323,47.01407897464582,47.58639423167388,40.82994420091734
P10,0.575591985428051,1.2028791235957452,49.209821383787265,48.66049719199022,41.09423862460192
P10,0.6589595375722543,1.962610210138783,48.566787365944556,46.81337180203332,40.399841716754835
P10,0.47489539748953974,2.2665693435307928,46.99869914702332,48.72193901117064,41.09037519160982
P10,0.6763005780346821,3.543467413289648,47.229416725099476,49.31049018498486,42.07395754610625
P10,0.4539130434782609,2.3391041286733008,48.16787937800347,46.07383874443725,41.171184175757126
P10,0.5380228136882129,2.8264676462567486,46.789046682982075,44.907273034734764,41.7515715947827
P10,0.6207584830339321,1.5185519755168355,47.38161061515683,48.04687421560501,46.99560535840008
P10,0.5799614643545279,2.7298765753353846,51.82067158779571,51.14083358651701,47.75086833446683
P10,0.9769230769230769,1.764188565046134,50.84524454471501,49.13089097880172,44.744852882863356
P10,0.7705223880597015,1.7109254560864977,52.02024325696562,50.31275089236181,43.28817507688623
P10,0.7733644859813084,0.3991057172082925,52.81442547564485,52.559389247937766,42.79685247932777
P10,0.8310679611650486,3.2211036994178643,54.4490304892148,51.62119814816605,43.449703243096096
P10,0.7756410256410257,3.304709827100477,56.003627157612456,53.108247963160984,44.91610367033069
P10,0.652542372881356,2.192786207851105,55.712151211872126,53.72933787660855,44.44526827571695
P10,0.5821917808219178,3.2353925602575133,56.17388894886861,53.33800547630287,47.03055906271231
P10,0.9922779922779923,1.7207520392279523,57.895419387226646,56.24180010599562,52.507359666385746
P10,0.6818181818181818,2.2351876507660284,56.81717172633033,54.82014193649963,46.77294185736976
P10,0.8571428571428571,2.8762180259155956,57.93306411895094,55.74329821429466,47.689302959901134
P10,0.6291666666666667,2.5909518159715925,56.10242339509202,53.73267039108006,45.823384725272525
P10,0.740041928721174,3.126812315903315,57.28567305268749,54.70516061771082,48.66063787934294
P10,0.5825242718446602,1.6303045722210037,57.29739228242807,55.667568856678585,47.96206474966934
P10,0.6906187624750499,2.304009201626944,55.26228812812893,53.09846013037582,47.51977279668415
P10,0.5945945945945946,2.2296934708407528,56.462240826495325,54.24747864299376,48.281599875170215
P10,0.5439672801635992,2.1927696133829633,57.60110359984944,55.43221633127284,49.6882766003007
P10,0.5632411067193676,1.4797038498406943,59.05396890580145,57.57505443911676,49.71057287039717
P10,0.42322834645669294,1.5053386333894865,56.775002476736375,55.387096993253046,47.157590003072045
P10,0.9669724770642202,1.6740424642470535,66.97193970446658,65.34789339457136,60.85341489342399
P10,0.4607218683651805,2.411411059965507,50.61833431467848,52.75243977787579,44.90039995847438
P10,0.5959183673469388,0.3317953156474882,50.26045840395218,50.11515193117589,44.578267693466515
P10,0.5387755102040817,0.4345760419950059,51.085644808620714,50.70881318696875,44.57686267952287
P10,0.6114649681528662,1.005531119815683,50.717612221131475,49.734221490369116,43.80545395856578
P10,0.47551020408163264,1.2665299058143045,49.765995629181226,49.82059427603426,43.50062250203647
P10,0.5528089887640449,1.5718312350805226,49.691603509259124,48.3280312191598,42.79682881531528
P10,0.6702586206896551,2.42859994903264,52.4252748668907,52.28681934572812,45.04002860908015
P10,0.5829694323144105,2.20889059248788,51.320037500213395,49.36564422484408,42.54979943964784
P10,0.6659619450317125,2.2812297801390398,50.512798317078406,49.07531989490037,43.57307718020435
P10,0.494199535962877,1.4166720487269606,50.97162134609841,49.81518247432492,44.4195101730146
P10,0.8588007736943907,1.5952292393086311,49.634754548897604,48.42020208372219,45.153493064326746
